Zipcode,Lat,Lng,City,EstimatedPopulation
7093,40.78,-74,Monitor,42640
7093,40.78,-74,"Taurus, NJ",42640
7675,40.98,-74.03,"Westwood, NJ",24083
7675,40.98,-74.03,"Old Tappan, NJ",24083
7675,40.98,-74.03,"River Vale, NJ",24083
7675,40.98,-74.03,"Rivervale, NJ",24083
7677,41.02,-74.05,"Woodcliff Lake, NJ",5471
7677,41.02,-74.05,"Westwood, NJ",5471
7677,41.02,-74.05,"Woodcliff Lk, NJ",5471
7885,40.89,-74.58,"Wharton, NJ",8999
7981,40.82,-74.41,"Whippany, NJ",8057
7999,40.82,-74.41,"Whippany, NJ",
8888,40.62,-74.76,"Whitehouse, NJ",
8889,40.6,-74.76,"Whitehouse Station, NJ",8570
8889,40.6,-74.76,"White Hse Sta, NJ",8570
8889,40.6,-74.76,"White House Station, NJ",8570
7095,40.55,-74.28,"Woodbridge, NJ",17272
7481,40.99,-74.16,"Wyckoff, NJ",15208
7820,40.91,-74.83,"Allamuchy, NJ",
7401,41.03,-74.13,"Allendale, NJ",5823
7620,40.95,-73.92,"Alpine, NJ",1696
7821,40.98,-74.74,"Andover, NJ",8046
7821,40.98,-74.74,"Byram Township, NJ",8046
7821,40.98,-74.74,"Byram Twp, NJ",8046
7821,40.98,-74.74,"Green Township, NJ",8046
7821,40.98,-74.74,"Green Twp, NJ",8046
8801,40.64,-74.89,"Annandale, NJ",7033
8802,40.67,-75.02,"Asbury, NJ",3833
7822,41.14,-74.68,"Augusta, NJ",1034
7001,40.58,-74.27,"Avenel, NJ",11573
8803,40.49,-75,"Baptistown, NJ",
7920,40.67,-74.56,"Basking Ridge, NJ",24379
7939,40.66,-74.55,"Lyons, NJ",
7939,40.66,-74.55,"Basking Ridge, NJ",
7002,40.66,-74.11,"Bayonne, NJ",49850
7002,40.66,-74.11,"Bergen Point, NJ",49850
7002,40.66,-74.11,"Pamrapo, NJ",49850
7921,40.65,-74.67,"Bedminster, NJ",6958
7823,40.82,-75.07,"Belvidere, NJ",6372
7621,40.92,-73.99,"Bergenfield, NJ",22950
7922,40.67,-74.42,"Berkeley Heights, NJ",11230
7922,40.67,-74.42,"Berkeley Hts, NJ",11230
7924,40.73,-74.59,"Bernardsville, NJ",6545
7825,40.98,-74.96,"Blairstown, NJ",8003
7825,40.98,-74.96,"Hardwick, NJ",8003
7825,40.98,-74.96,"Johnsonburg, NJ",8003
7003,40.81,-74.18,"Bloomfield, NJ",40014
7003,40.81,-74.18,"Brookdale, NJ",40014
7003,40.81,-74.18,"Grove, NJ",40014
7003,40.81,-74.18,"North Center, NJ",40014
7403,41.02,-74.33,"Bloomingdale, NJ",6373
8804,40.65,-75.08,"Bloomsbury, NJ",2745
7005,40.9,-74.4,"Boonton, NJ",13492
7005,40.9,-74.4,"Boonton Township, NJ",13492
7005,40.9,-74.4,"Boonton Twp, NJ",13492
7005,40.9,-74.4,"Lake Intervale, NJ",13492
7005,40.9,-74.4,"Lk Intervale, NJ",13492
7005,40.9,-74.4,"Lyonsville, NJ",13492
7005,40.9,-74.4,"Meriden, NJ",13492
7005,40.9,-74.4,"Powerville, NJ",13492
7005,40.9,-74.4,"Rockaway Valley, NJ",13492
7005,40.9,-74.4,"Taylortown, NJ",13492
8805,40.56,-74.53,"Bound Brook, NJ",10018
8805,40.56,-74.53,"Bound Brk, NJ",10018
7826,41.14,-74.74,"Branchville, NJ",5528
7826,41.14,-74.74,"Sandyston, NJ",5528
7827,41.29,-74.74,"Montague, NJ",3383
7827,41.29,-74.74,"Branchville, NJ",3383
7827,41.29,-74.74,"Sandyston, NJ",3383
7890,41.14,-74.74,"Branchville, NJ",
7890,41.14,-74.74,"Selected Risks Insurance Co, NJ",
8807,40.59,-74.62,"Bridgewater, NJ",33977
8808,40.71,-75.05,"Broadway, NJ",
7926,40.76,-74.6,"Brookside, NJ",968
7828,40.87,-74.73,"Budd Lake, NJ",11080
7828,40.87,-74.73,"Mount Olive, NJ",11080
7405,40.99,-74.34,"Butler, NJ",16050
7405,40.99,-74.34,"Kinnelon, NJ",16050
7405,40.99,-74.34,"Fayson Lake, NJ",16050
7405,40.99,-74.34,"Fayson Lakes, NJ",16050
7405,40.99,-74.34,"High Crest, NJ",16050
7405,40.99,-74.34,"Lindy Lake, NJ",16050
7829,40.82,-75.04,"Buttzville, NJ",
7004,40.88,-74.3,"Fairfield, NJ",7094
7006,40.83,-74.27,"Caldwell, NJ",22600
7006,40.83,-74.27,"N Caldwell, NJ",22600
7006,40.83,-74.27,"North Caldwell, NJ",22600
7006,40.83,-74.27,"W Caldwell, NJ",22600
7006,40.83,-74.27,"West Caldwell, NJ",22600
7007,40.83,-74.27,"Caldwell, NJ",
7007,40.83,-74.27,"West Caldwell, NJ",
7830,40.71,-74.83,"Califon, NJ",5979
7830,40.71,-74.83,"Tewksbury Township, NJ",5979
7830,40.71,-74.83,"Tewksbury Twp, NJ",5979
7008,40.58,-74.22,"Carteret, NJ",18300
7008,40.58,-74.22,"West Carteret, NJ",18300
7009,40.85,-74.22,"Cedar Grove, NJ",10730
7009,40.85,-74.22,"Overbrook, NJ",10730
7927,40.82,-74.45,"Cedar Knolls, NJ",3204
7831,40.74,-74.95,"Changewater, NJ",
7928,40.74,-74.38,"Chatham, NJ",16921
7928,40.74,-74.38,"Chatham Twp, NJ",16921
7930,40.78,-74.69,"Chester, NJ",7622
7010,40.82,-73.98,"Cliffside Park, NJ",18008
7010,40.82,-73.98,"Cliffside Pk, NJ",18008
7010,40.82,-73.98,"Cliff Park, NJ",18008
7011,40.86,-74.15,"Clifton, NJ",32734
7011,40.86,-74.15,"Main Avenue Station, NJ",32734
7012,40.86,-74.15,"Clifton, NJ",10729
7012,40.86,-74.15,"Allwood, NJ",10729
7013,40.86,-74.15,"Clifton, NJ",23975
7014,40.86,-74.15,"Clifton, NJ",4646
7014,40.86,-74.15,"Delawanna, NJ",4646
7015,40.86,-74.15,"Clifton, NJ",740
8809,40.63,-74.91,"Clinton, NJ",4772
7624,40.97,-73.96,"Closter, NJ",7464
7832,40.95,-75.06,"Columbia, NJ",3322
7016,40.65,-74.3,"Cranford, NJ",20361
7626,40.93,-73.95,"Cresskill, NJ",7423
8810,40.38,-74.51,"Dayton, NJ",7524
8810,40.38,-74.51,"South Brunswick, NJ",7524
7833,40.88,-75.04,"Delaware, NJ",
7627,40.95,-73.95,"Demarest, NJ",4545
7834,40.89,-74.48,"Denville, NJ",16065
7801,40.88,-74.55,"Dover, NJ",20418
7801,40.88,-74.55,"Victory Gardens, NJ",20418
7802,40.88,-74.55,"Dover, NJ",1060
7803,40.87,-74.6,"Mine Hill, NJ",3197
7803,40.87,-74.6,"Dover, NJ",3197
7806,40.93,-74.54,"Picatinny Arsenal, NJ",
7806,40.93,-74.54,"Dover, NJ",
7806,40.93,-74.54,"Picatinny Ars, NJ",
7869,40.84,-74.58,"Randolph, NJ",23006
7869,40.84,-74.58,"Dover, NJ",23006
7628,40.94,-73.99,"Dumont, NJ",15212
8812,40.58,-74.46,"Dunellen, NJ",12136
8812,40.58,-74.46,"Green Brook, NJ",12136
8816,40.42,-74.41,"East Brunswick, NJ",42868
8816,40.42,-74.41,"E Brunswick, NJ",42868
7936,40.81,-74.36,"East Hanover, NJ",10659
7017,40.76,-74.21,"East Orange, NJ",25182
7017,40.76,-74.21,"Ampere, NJ",25182
7017,40.76,-74.21,"Doddtown, NJ",25182
7018,40.76,-74.21,"East Orange, NJ",19385
